,name,sex,age,region,membership,preferType,selectType,deliveryFeeWillingToPay,orderCycle,remainder,orderQuantity,date,quantity,deliveryType,deliveryFee,n=1,n=7,n=14,n=30,n=60,n=90,last_ordered_quantity,days_after_last_order,year,month,weeknumber,dateindex,buy,case
0,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-16,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020,12,51,202012_51,1,1078.0
1,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-17,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,2020,12,51,202012_51,0,1014.0
2,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-18,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,1.0,2020,12,51,202012_51,0,1064.0
3,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-19,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,2.0,2020,12,51,202012_51,0,1045.0
4,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-20,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,3.0,2020,12,51,202012_51,0,1096.0
5,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-21,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,4.0,2020,12,52,202012_52,0,924.0
6,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-22,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,5.0,2020,12,52,202012_52,0,866.0
7,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-23,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0,6.0,2020,12,52,202012_52,0,1090.0
8,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-24,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,7.0,2020,12,52,202012_52,0,985.0
9,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-25,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,8.0,2020,12,52,202012_52,0,1240.0
10,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-26,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,9.0,2020,12,52,202012_52,0,1131.0
11,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-27,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,10.0,2020,12,52,202012_52,0,970.0
12,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-28,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,11.0,2020,12,53,202012_53,0,806.0
13,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-29,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,12.0,2020,12,53,202012_53,0,1044.0
14,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-30,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,50.0,13.0,2020,12,53,202012_53,0,1050.0
15,김은미,1,33,수도권,0,0,0,0.0,12,20,50,2020-12-31,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,14.0,2020,12,53,202012_53,0,967.0
